title,year,network,duration_in_minutes,director,screenwriter,episodes,ratings,totnum_ratings,totnum_watchers,totnum_reviews,genres,tags,url
kairos,2020,MBC,70,Park Seung Woo,Lee Soo Hyun,16,8.5,2780,8911,39,"Action,Suspense,Thriller,Drama,Sci-Fi,Fantasy","Time Altering,Past And Present,Hardworking Male Lead,Smart Male Lead,Family Secret,Rich Male Lead,Betrayal,Gaslighting,Different Timelines,Successful Male Lead",https://mydramalist.com/58337-kairos
lie after lie,2020,Channel A,69,Kim Jung Kwon,Kim Ji Eun,16,8.3,2154,6370,24,"Suspense,Romance,Drama,Melodrama","Makjang,Nice Male Lead,Adopted Child,Father-Daughter Relationship,Female Antagonist,Wrongfully Accused,Revenge,Domestic Abuse,Hidden Identity,Domestic Violence",https://mydramalist.com/54715-lie-of-a-lie
lovestruck in the city,2020,Daum Kakao TV,33,Park Shin Woo,Jung Hyun Jung,17,7.9,5852,16668,87,"Romance,Life,Youth,Drama","Passionate Male Lead,Flashback To Past,Break Up,Multiple Couples,Steamy Kiss,Multiple Mains,Obsession,Fast Paced Romance,Best Friends,Marriage Proposal",https://mydramalist.com/65277-love-way-of-urban-man-woman
into the ring,2020,KBS2,35,"Hwang Seung Gi,Choi Yeon Soo",Moon Hyun Kyung,32,8.3,3149,8602,42,"Comedy,Romance,Drama,Political","Quirky Humour,Eccentric Female Lead,Childhood Friends,Strong Female Lead,Hardworking Male Lead,Politics,Aggressive Female Lead,Office Romance,Nice Male Lead,Corruption",https://mydramalist.com/55675-the-ballot
kkondae  intern,2020,MBC,35,Nam Sung Woo,Shin So Ra,24,7.9,1485,4755,20,"Business,Comedy,Life,Drama","Bromance,Internship,Workplace,Food,Marketing,Slight Romance,Rivalry,Colleagues,Multiple Mains,Revenge",https://mydramalist.com/54683-old-school-intern
a man in a veil,2020,KBS2,35,Shin Chang Seok,Lee Jung Dae,105,7.2,162,866,4,"Business,Romance,Life,Drama,Family,Melodrama","Makjang,Hidden Identity,Nice Female Lead,Revenge,Rich Male Lead,Poor Female Lead,Intellectual Disability,Nice Male Lead,DNA Paternity Testing,Distant Father",https://mydramalist.com/63479-the-secret-man
memorist,2020,tvN,65,"So Jae Hyun,Kim Hwi","Ahn Do Ha,Hwang Ha Na",16,8.4,7324,19520,63,"Action,Thriller,Mystery,Crime,Supernatural","Serial Killer,Police Officer,Adapted From A Webtoon,Criminal Profiler,Eccentric Male Lead,Smart Female Lead,Calm Female Lead,Investigation,Supernatural Power,Detective",https://mydramalist.com/49999-memorist
live on,2020,jTBC,63,Kim Sang Woo,Bang Yoo Jung,8,8.2,3804,9134,29,"Friendship,Comedy,Romance,School,Youth,Drama","High School,Hidden Past,Student,Victon,Secret,Idol Actor,Broadcasting Club,NU'EST,Popular Female Lead,School Bullying",https://mydramalist.com/62495-untitled
to all the guys who loved me,2020,KBS2,35,Choi Yoon Seok,Lee Eun Young,32,7.1,1675,6019,18,"Business,Comedy,Romance,Drama,Fantasy","Love Triangle,Reincarnated Lovers,Childhood Friends,Eccentric Female Lead,Webtoon Artist,Successful Male Lead,Heartbreak,Fate,Cohabitation,Friendship",https://mydramalist.com/57159-the-guy-is-that-guy
lonely enough to love,2020,MBC every1,60,Lee Hyun Joo,Jo Jin Kook,10,7.2,1176,3911,8,"Psychological,Romance,Youth,Drama","Cohabitation,Housemates,Love Triangle,Reverse-Harem,Mischievous Male Lead,Righteous Female Lead,Male Chases Female First,B14a,Trauma,Nice Male Lead",https://mydramalist.com/60353-love-is-annoying-but-i-hate-being-lonely
king maker: the change of destiny,2020,TV Chosun,62,Yoon Sang Ho,Bang Ji Young,21,7.7,585,3059,5,"Historical,Romance,Drama,Supernatural,Political","Power Struggle,Joseon Dynasty,Fate,Princess,Physiognomist,Psychic,Adapted From A Novel,Lee Byung Joo,Throne Successor,Special Power",https://mydramalist.com/22343-wind-and-cloud-and-rain
a love so beautiful,2020,Daum Kakao TV,20,,,24,7.8,4481,11308,43,"Friendship,Comedy,Romance,School,Youth","Unrequited Love,First Love,Height Difference,Bright Female Lead,Female Chases Male First,Adapted From A Novel,Love Triangle,Slice Of Life,Smart Male Lead,High School",https://mydramalist.com/63483-a-love-so-beautiful
the king: eternal monarch,2020,SBS,70,"Baek Sang Hoon,Yoo Je Won,Jung Ji Hyun",Kim Eun Sook,16,8.1,22430,45970,253,"Mystery,Romance,Drama,Sci-Fi","Parallel Universe,King,Bodyguard,Doppelganger,Royal Family,Male Lead Saves Female Lead,Royalty,Male Chases Female First,Murder,Fast Paced Romance",https://mydramalist.com/35039-the-king-the-eternal-monarch
it's okay to not be okay,2020,tvN,75,"Park Shin Woo,Jung Dong Yoon",Jo Yong,16,9.1,37887,67482,413,"Psychological,Comedy,Romance,Drama,Family","Melodrama,Independent Female Lead,Sibling Relationship,Mental Health,Emotionally Wounded,Successful Female Lead,Strong Female Lead,Healing,Caregiver,Strong Male Lead",https://mydramalist.com/49865-psycho-but-it-s-okay
missing: the other side,2020,OCN,70,Min Yeon Hong,"Ban Ki Ri,Jung So Young",12,8.5,2289,5883,17,"Thriller,Mystery,Fantasy","Con Artist,Ghost-seeing Male Lead,Spirit,Missing Person,Detective,Hacker,Bromance,Social Justice,Righteous Male Lead,Death",https://mydramalist.com/53101-missing
mom has an affair,2020,SBS,32,Ko Heung Sik,Ahn Seo Jung,122,7.3,147,478,4,"Romance,Drama,Family","Morning Drama,Family Relationship,Single Parent,Teacher,Company Director,Single Mother,Infidelity,Single Mom,Domestic Violence",https://mydramalist.com/57163-my-mother-is-having-an-affair
money game,2020,tvN,70,Kim Sang Ho,Lee Young Mi,16,7.8,387,1595,6,"Business,Drama,Political","Power Struggle,Corruption,Teamwork,Strong Friendship,Bank,Investigation,Hardworking Female Lead,Greed,Office Worker,Injustice",https://mydramalist.com/34172-money-game
more than friends,2020,jTBC,68,Choi Sung Bum,Jo Seung Hee,16,7.5,3405,11025,56,"Comedy,Romance,Youth,Drama","Multiple Couples,First Love,Love Triangle,Unrequited Love,Block B,Self-centered Character,Idol Actor,Secret Crush,Sismance,Misunderstanding",https://mydramalist.com/57047-number-of-cases-to-go-from-friends-to-lovers
mr. queen,2020,tvN,80,Yoon Sung Shik,"Park Kye Ok,Choi Ah Il",20,9,11961,24558,175,"Historical,Comedy,Romance,Drama,Fantasy","Joseon Dynasty,Time Travel,King,Body Swap,Palace,Transmigration,Smart Male Lead,Calm Male Lead,Fight For The Throne,Gender Swap",https://mydramalist.com/58365-queen-cheorin
my dangerous wife,2020,MBN,70,Lee Hyung Min,Hwang Da Eun,16,7.8,602,2224,9,"Suspense,Thriller,Mystery,Psychological,Drama","Smart Female Lead,Married Couple,Kidnapping,Infidelity,Money-Obsession,Revenge,Crime,Makjang,Kind-hearted Female Lead,Famous Male Lead",https://mydramalist.com/58567-my-dangerous-wife
my holo love,2020,Netflix,55,"Lee Sang Yeob,Yoon Jong Ho","Ryu Yong Jae,Kim Hwan Chae,Choi Sung Joon",12,8.2,13616,25800,65,"Romance,Drama,Sci-Fi,Melodrama","Artificial Intelligence,Hologram,Genius,Tragic Past,Trauma,Prosopagnosia,Smart Male Lead,Hacker,Love Triangle,Healing",https://mydramalist.com/32406-me-alone-and-you
my unfamiliar family,2020,tvN,75,Kwon Young Il,Kim Eun Jung,16,8.4,1750,5019,15,"Life,Drama,Family","Family Crisis,Amnesia,Misunderstanding,Family Relationship,Mother-Son Relationship,Father-Daughter Relationship,Mother-Daughter Relationship,Father-Son Relationship,Friends To Lovers,Sibling",https://mydramalist.com/55011-we-don-t-know-much-but-we-are-a-family
my wonderful life,2020,MBC,35,,,127,6.8,128,608,3,"Comedy,Romance,Drama,Family,Melodrama","Stepmother-Stepdaughter Relationship,Smart Daughter,Incompetent Husband,Half-Sibling,Cheerful Female Lead,Nice Female Lead,Hardworking Female Lead,Conglomerate,Death Of A Parent,Slight Romance",https://mydramalist.com/60779-my-perfect-life
mystic pop-up bar,2020,jTBC,68,Jun Chang Geun,Ha Yoon Ah,12,8.6,11726,24429,80,"Mystery,Comedy,Drama,Family,Fantasy","Afterlife,Tragic Past,Spirit,Hot-tempered Female Lead,Adapted From A Webtoon,Grudge,Family Relationship,Flashback To Past,Food,Special Power",https://mydramalist.com/34539-ssang-gap-pocha
no matter what,2020,KBS1,30,Sung Joon Hae,Go Bong Hwang,120,7.5,148,594,2,"Romance,Drama,Family","Broadcasting Writer,Weather Forecaster,Remarriage,Entertainment Industry,Orphan Male Lead,Hardship,Prejudice,One-night Stand,Sisterhood,Divorce",https://mydramalist.com/64539-no-matter-what-anyone-says
"no, thank you",2020,Daum Kakao TV,20,Lee Kwang Young,,12,8,8,477,0,"Comedy,Romance,Life,Drama,Family","Ordinary Husband,Soo Shin Ji,Daughter-in-law,Family Relationship,Married Couple,Web Series,Marriage,Adapted From A Webtoon",https://mydramalist.com/62237-daughter-in-law
nobody knows,2020,SBS,70,Lee Jung Heum,Kim Eun Hyang,16,8.5,2387,8849,22,"Mystery,Drama,Detective,Investigation","Strong Female Lead,Smart Female Lead,Police,Crime,Unusual Friendship,Murder,Death,Strong Friendship,Guilt,Teacher",https://mydramalist.com/35205-nobody-knows
oh my baby,2020,tvN,65,Nam Ki Hoon,Yang Hyuk Moon,16,7.9,2929,8125,32,"Comedy,Romance,Life,Drama,Family,Medical","Hardworking Female Lead,Reverse-Harem,Motherhood,Pregnancy,Strong Female Lead,Romance,Female Infertility,Babies,Mother-Daughter Relationship,Magazine Editor",https://mydramalist.com/52839-oh-my-baby
once again,2020,KBS2,35,Lee Jae Sang,Yang Hee Seung,100,8.5,2284,6164,20,"Business,Comedy,Romance,Life,Drama,Family","Divorce,Family Relationship,Multiple Couples,Multiple Mains,Huge Family,Marriage,Married Couple,Divorced Couple,Age Gap,Doctor",https://mydramalist.com/44611-i-have-been-there-once
the penthouse: war in life,2020,SBS,85,Joo Dong Min,Kim Soon Ok,21,8.7,6778,15948,60,"Suspense,Thriller,Crime,Drama,Family","Makjang,Greed,Revenge,Married Couple,Multiple Mains,Betrayal,Jealousy,Female Centered Plot,Opera Singer,Twins",https://mydramalist.com/53535-penthouse
the penthouse 2: war in life,2021,SBS,75,Joo Dong Min,Kim Soon Ok,13,8.8,3977,8595,23,"Suspense,Thriller,Crime,Drama,Family","Makjang,Revenge,High Class Society,Female Centered Plot,Greed,Multiple Mains,Infidelity,Murder,Family Relationship,Betrayal",https://mydramalist.com/680959-the-penthouse-season-2
phoenix 2020,,SBS,30,Lee Hyun Jik,Lee Yoo Jin,120,6.5,98,874,2,"Business,Romance,Drama,Melodrama","Disapproving Parent,Time Skip,Divorce,Family Pressure,Rags To Riches,First Love,Marriage,Pregnancy,Love Triangle,Bitterness",https://mydramalist.com/63425-phoenix
a piece of your mind,2020,tvN,71,Lee Sang Yeob,Lee Sook Yun,12,8.1,5887,16094,75,"Romance,Life,Drama,Melodrama","Healing,Depression,Emotional Scars,Tragic Past,Character Development,Slow Burn Romance,Sound Engineer,Slice Of Life,Music,Slow Burn Story",https://mydramalist.com/38491-half-of-half
please don't date him,2020,MBC,60,Oh Mi Kyeong,,10,7.7,1755,6058,18,"Comedy,Romance,Drama,Sci-Fi","Artificial Intelligence,Programmer,Smart Female Lead,Firefighters,Nice Male Lead,Obsessive Ex-lover,Clingy Ex-boyfriend,Sismance,Idol Actor,Break Off Engagement",https://mydramalist.com/62539-please-don-t-meet-the-man
private lives,2020,jTBC,75,Nam Gun,Yoo Sung Yeol,16,7.5,3579,10901,19,"Thriller,Mystery,Romance,Crime,Drama","Con Artist,Secret,Fraud,Swindling,Marriage,Corruption,Lovers To Enemies,Secret Organization,Espionage,Enemies To Friends",https://mydramalist.com/57049-private-life
record of youth,2020,tvN,75,Ahn Gil Ho,Ha Myung Hee,16,7.6,10831,25334,97,"Friendship,Romance,Youth,Drama,Family,Melodrama","Dysfunctional Family,Family Relationship,Dream,Makeup Artist,Hardworking Male Lead,Family Pressure,Love Triangle,Grandpa-Grandson Relationship,Strong Female Lead,Modeling",https://mydramalist.com/52015-youth-report
the goddess of revenge,2020,TV Chosun,62,Kang Min Gu,Kim Hyo Jin,16,7.6,605,2286,6,"Mystery,Drama","Revenge,Lawyer,Makjang,Heiress,Detective,Popular Female Lead,Internet Celebrity,Teamwork,Smart Male Lead,Mother-Son Relationship",https://mydramalist.com/60861-channel-o-hara-revenge
secret royal inspector,2020,KBS2,70,Kim Jung Min,,16,8,1394,5555,14,"Historical,Mystery,Comedy,Romance,Drama","Joseon Dynasty,Historical Fiction,Corruption,Master-Slave Relationship,Idol Actor,Hidden Identity,Fight For Justice,Detective,Undercover Operation,Half-Sibling",https://mydramalist.com/62153-new-secret-royal-inspector
rugal,2020,OCN,65,Kang Cheol Woo,Do Hyun,16,7.6,3413,9947,27,"Action,Thriller,Crime,Drama,Sci-Fi","Power Struggle,Human Experimentation,Hot-Tempered Male Lead,Adapted From A Webtoon,Biotechnology,Skilled Killer,Revenge,Strong Male Lead,Wrongfully Accused,Bromance",https://mydramalist.com/40113-rugal
run on,2020,jTBC,75,Lee Jae Hoon,Park Shi Hyun,16,8.5,12056,26785,132,"Romance,Life,Drama,Sports","Calm Male Lead,Strong Female Lead,Secondary Couple,Hardworking Female Lead,Smart Female Lead,Eccentric Male Lead,Nice Male Lead,Orphan Female Lead,Sismance,Female Chases Male First",https://mydramalist.com/58651-run-on
the school nurse files,2020,Netflix,51,Lee Kyung Mi,Chung Se Rang,6,7.5,4931,12248,49,"Mystery,Horror,Comedy,Drama,Fantasy,Supernatural","Ghost-seeing Female Lead,Exorcism,High School,Teacher,Brave Female Lead,Adapted From A Novel,School,Special Power,Eccentric Female Lead,Supernatural Phenomena",https://mydramalist.com/32566-nurse-teacher-ahn-eun-young
search,2020,OCN,60,Im Dae Woong,"Goo Mo,Go Myung Joo",10,8.2,3363,9355,27,"Military,Suspense,Thriller,Mystery,Horror","Survival,Secret Operation,Virus,Army Officer,Police Dog,Demilitarized Zone,Female Warrior,Tragic Past,Sergeant,Smart Female Lead",https://mydramalist.com/51325-the-search
sell your haunted house,2021,KBS2,70,Park Jin Suk,"Ha Soo Jin,Jung Yeon Seo,Lee Young Hwa",16,8.4,300,3879,0,"Thriller,Mystery,Horror,Comedy,Romance,Fantasy","Excorcist,Excorcism,Real Estate,Smart Female Lead,Con Artist,Ghost,Supernatural,Suspense,Dead Parents,Hot-tempered Female Lead",https://mydramalist.com/71995-daebak-real-estate
she knows everything,2020,MBC,70,Lee Dong Hyun,,4,7.3,535,1483,7,"Mystery,Psychological,Crime,Drama,Investigation","Meddlesome Personality,Self-conceited,Find The Truth,Real-estate Agent,Quarreling,Mysterious Case,Conflict,Hit And Run,Bad Cop,Child Behavior Issues",https://mydramalist.com/58827-miss-lee-knows
the silent sea,,Netflix,,Choi Hang Yong,Park Eun Kyo,8,,0,3338,0,"Thriller,Mystery,Horror,Drama,Sci-Fi","Adapted From Short Film,Team Leader,Scientist,Space Travel,Future,Dystopia,Agent,Web Series",https://mydramalist.com/53487-the-silent-sea
soul mechanic,2020,KBS2,35,Yoo Hyun Ki,Lee Hyang Hee,32,7.8,1667,5939,18,"Psychological,Comedy,Romance,Life,Drama,Medical","Mental Health,Healing,Nice Male Lead,Older Man/Younger Woman,Character Development,Age Gap,Eccentric Male Lead,Psychiatry,Slow Burn Romance,Father-Son Relationship",https://mydramalist.com/50943-soul-repairer
the spies who loved me,2020,MBC,70,Lee Jae Jin,Lee Ji Min,16,7.5,1592,6916,15,"Suspense,Thriller,Comedy,Romance,Drama","Secret,Spy,Designer,Hidden Identity,Hidden Past,Fake Identity,Ex-husband Returns,Multiple Marriages,Secret Agent,Fashion Designer",https://mydramalist.com/58895-the-spy-who-loved-me
squid game,,Netflix,,Hwang Dong Hyuk,Hwang Dong Hyuk,0,,0,989,0,"Action,Adventure,Thriller,Mystery,Drama","Financial Crisis,Prize,Workplace Abuse,Multiple Mains,Death Game,Survival,Web Series,Childhood Friends,Competition,Game Show",https://mydramalist.com/40257-round-six
start-up,2020,tvN,85,Oh Choong Hwan,Park Hye Ryun,16,8.1,17530,36252,354,"Business,Comedy,Romance,Youth,Drama","Lying,Competition,Workplace,App Developer,Hardworking Female Lead,Artificial Intelligence,Nice Female Lead,Office Romance,Hardworking Male Lead,Love Triangle",https://mydramalist.com/51909-sandbox
stranger 2,2020,tvN,62,Park Hyun Suk,Lee Soo Yeon,16,8.6,4293,10175,41,"Thriller,Mystery,Crime,Drama,Investigation","Corruption,Calm Male Lead,Prosecutor,Smart Male Lead,Emotional Blunting,Law,Strong Female Lead,Suspense,Police Officer,Power Struggle",https://mydramalist.com/27361-stranger-2
sweet home,2020,Netflix,52,Lee Eung Bok,,10,8.8,14982,27084,122,"Action,Thriller,Horror,Psychological,Drama,Supernatural","Monsters,Gore,Survival,Character Development,Adapted From A Webtoon,Supernatural Phenomena,School Bullying,Attempted Suicide,Trauma,Personal Growth",https://mydramalist.com/34064-sweet-home
sweet munchies,2020,jTBC,65,Song Ji Won,Park Seung Hye,12,7,1207,4084,16,"Food,Friendship,Comedy,Romance,Life,Drama","Chef,Gay Character,Pretends To Be Gay,Love Triangle,LGBTQ+,Closeted,Oblivious Male Lead,Unrequited Love,TV Show Producer,Designer",https://mydramalist.com/33431-midnight-snack-men-women
tale of the nine-tailed,2020,tvN,70,"Kang Shin Hyo,Jo Nam Hyung",Han Woo Ri,16,8.3,13689,34119,128,"Action,Suspense,Thriller,Horror,Romance,Fantasy","Nine-tailed Fox,Reincarnation,Supernatural,Immortal,Interspecies Romance,Imoogi,Death Of Lover,Mythical Being,Hardworking Female Lead,Smart Female Lead",https://mydramalist.com/52995-the-story-of-gumiho
team bulldog: off-duty investigation,2020,OCN,70,Kang Hyo Jin,"Lee Yoo Jin,Jung Yoon Sun",12,8.2,1401,4138,11,"Action,Comedy,Crime,Drama,Investigation","Detective,Strong Female Lead,Solve Crimes,Smart Female Lead,Multiple Mains,Tv Program,Investigators,Producer,Eccentric Female Lead,Eccentric Male Lead",https://mydramalist.com/46661-further-investigation
tell me what you saw,2020,OCN,60,Lee Joon Hyeong,,16,8.2,3464,8631,32,"Suspense,Thriller,Mystery,Crime","Murder,Serial Killer,Strong Female Lead,Smart Male Lead,Photographic Memory,Criminal Profiler,Tragic Past,Trauma,Disability,Revenge",https://mydramalist.com/39017-call-it-like-you-see-it
the uncanny counter,2020,OCN,70,Yoo Seon Dong,"Jung Do Yoon,Kim Sae Bom,Yeo Ji Na",16,8.8,12033,24135,103,"Action,Mystery,Drama,Supernatural","Special Power,Righteous Male Lead,Death Of Parents,Spirit,Evil Spirit,Strong Female Lead,Multiple Mains,Orphan Male Lead,Grim Reaper,Adapted From A Webtoon",https://mydramalist.com/62085-a-wonderful-rumor
touch,2020,Channel A,63,Min Yeon Hong,Ahn Ho Kyung,16,7.3,1645,4868,13,"Business,Comedy,Romance,Drama","Age Gap,Beauty And Makeup,Strong Female Lead,Boss/Employee Relationship,Second Chance,Idol Trainee,Domestic Abuse,Ex-girlfriend Comes Back,Slow Burn Romance,First Love",https://mydramalist.com/39743-touch
train,2020,OCN,60,Lee Seung Hoon,Park Ga Yun,12,8.4,4201,11154,48,"Thriller,Mystery,Crime,Sci-Fi","Parallel Dimension,Serial Killer,Suspense,Murder,Death,Tough Female Lead,Detective,Slight Romance,Strong Male Lead,Crossworlds Traveler",https://mydramalist.com/52351-train
true beauty,2020,tvN,75,Kim Sang Hyub,Lee Shi Eun,16,8.4,21437,42971,246,"Comedy,Romance,Youth,Drama","Adapted From A Webtoon,Makeover,Hidden Identity,Popular Male Lead,Secret,Beauty,High School,Sibling,Low Self-esteem Protagonist,Beauty Standards",https://mydramalist.com/38627-true-beauty
was it love?,2020,jTBC,70,Kim Do Hyung,,16,7.4,5148,11457,57,"Comedy,Romance,Drama","Single Mother,Meet Again,Film Producer,Love Pentagon,Working Mom,Reverse-Harem,First Love,Mother-Daughter Relationship,Writer,Entertainment Industry",https://mydramalist.com/49735-begin-again
"meow, the secret boy",2020,KBS2,35,Ji Byung Hyun,Joo Hwa Mi,24,7.6,6383,17203,55,"Friendship,Comedy,Romance,Drama,Fantasy","Cat,Cat Shifter,Cohabitation,Nice Male Lead,Innocent Male Lead,Love Triangle,Double Identity,Transformation,Calm Male Lead,Hidden Identity",https://mydramalist.com/32545-man-that-bakes-bread
when i was the most beautiful,2020,MBC,35,Oh Kyung Hoon,Jo Hyun Kyung,32,7,1267,5599,22,"Romance,Drama,Melodrama","Love Triangle,Older Woman/Younger Man,Jealousy,Student/Teacher Relationship,Love At First Sight,Naive Female Lead,Prince Syndrome,Innocent Male Lead,Obsession,Evil Aunt",https://mydramalist.com/54445-when-i-was-the-most-beautiful
when my love blooms,2020,tvN,60,Son Jung Hyun,Jun Hee Young,16,7.8,2301,8404,21,"Romance,Life,Drama,Family,Melodrama","Second Chance,Strong Female Lead,Flashback To Past,Female Chases Male First,First Love,Rich Man/Poor Woman,Slice Of Life,Idol Actor,Divorce,Mother-Son Relationship",https://mydramalist.com/51155-the-most-beautiful-moment-in-life
